hp_x0,hp_x1,hp_x2,hp_x3,hp_x4,hp_x5,metric_valid_error,metric_train_error,metric_runtime,metric_elapsed_time,metric_latency,metric_flops,metric_params
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,0.5159,0.5132,18.24744,3649.498,0.009450846,7.78305,0.073306
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,0.1992,0.1626,22.670305,4534.0713,0.012374583,43.17249,0.316346
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,0.4843,0.4816,16.117607,3223.5234,0.009851156,7.78305,0.073306
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,0.2198,0.1877,20.387564,4077.5022,0.011753085,11.71521,0.101306
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,0.2952,0.27062,16.63254,3326.5127,0.010114894,7.78305,0.073306
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,0.25620002,0.24577,20.792118,4158.4346,0.012561349,43.17249,0.316346
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,0.1555,0.04746,25.424398,5084.871,0.015063671,78.56193,0.559386
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,skip_connect,0.2692,0.25334,19.55469,3910.9377,0.012292944,43.17249,0.316346
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,0.1553,0.04798,23.783413,4756.6807,0.01496852,47.10465,0.344346
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,none,0.1507,0.04405,20.248503,4049.7046,0.0131002255,43.17249,0.316346
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,avg_pool_3x3,0.4988,0.49926,15.642729,3128.5496,0.009783899,7.78305,0.073306
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,nor_conv_3x3,0.1928,0.1433,20.564098,4112.8296,0.012283288,43.17249,0.316346
