df_moo_index,hp_x0,hp_x1,hp_x2,hp_x3,hp_x4,hp_x5,metric_valid_error,metric_train_error,metric_runtime,metric_elapsed_time,metric_latency,metric_flops,metric_params,pred_metric_flops,pred_metric_latency,pred_metric_runtime,pred_metric_valid_error
13487,none,nor_conv_3x3,skip_connect,none,skip_connect,skip_connect,0.076,0.00272,11.473021,2294.6018,0.012523779,43.17249,0.316346,42.342335305472,0.012506647051323842,11.589947940284977,0.07955606
7738,skip_connect,skip_connect,nor_conv_3x3,none,skip_connect,nor_conv_1x1,0.0707,0.00136,15.29903,3059.811,0.015043928,47.10465,0.344346,46.646668188393136,0.014731996010875855,15.131129454806747,0.07371591
14062,none,skip_connect,skip_connect,skip_connect,skip_connect,skip_connect,0.1634,0.14236,6.657342,1331.4695,0.0085947355,7.78305,0.073306,6.8509293636594855,0.008665504430879427,6.4320378617269816,0.1743443
14087,none,skip_connect,skip_connect,nor_conv_1x1,skip_connect,skip_connect,0.111,0.03564,10.126159,2025.2258,0.011604065,11.71521,0.101306,11.058033014730032,0.011908253921939248,10.072486214278188,0.107387155
11695,nor_conv_1x1,nor_conv_1x1,nor_conv_1x1,skip_connect,none,avg_pool_3x3,0.0849,0.0045,19.768023,3953.6106,0.01874323,19.57953,0.157306,19.662397413375743,0.017530984359832177,19.74158655428748,0.088007696
10313,nor_conv_1x1,nor_conv_3x3,skip_connect,skip_connect,skip_connect,nor_conv_1x1,0.0641,0.00094,18.605896,3721.188,0.017086176,51.03681,0.372346,50.639043889331745,0.01677734096734864,18.800324622660405,0.06816702
10198,nor_conv_1x1,nor_conv_3x3,nor_conv_3x3,skip_connect,none,nor_conv_1x1,0.0595,0.00058,23.224464,4644.889,0.019745369,86.42625,0.615386,86.45748173349656,0.019661856076847967,24.164085093316807,0.059787225
9117,skip_connect,none,skip_connect,none,nor_conv_1x1,skip_connect,0.1075,0.03592,10.570597,2114.116,0.011898315,11.71521,0.101306,11.796084870299488,0.01235902029252332,10.550830579101024,0.09296477
4727,nor_conv_3x3,skip_connect,skip_connect,none,avg_pool_3x3,skip_connect,0.0848,0.00344,13.538541,2707.7112,0.011784517,43.17249,0.316346,42.6167893876791,0.012134896971637018,13.380258076875691,0.08985596
13777,none,skip_connect,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,skip_connect,0.0801,0.00188,15.067452,3013.4893,0.012152933,43.17249,0.316346,43.32777644839186,0.012345133463739137,15.45038805025199,0.07980403
8988,skip_connect,none,nor_conv_3x3,none,skip_connect,nor_conv_1x1,0.065,0.00108,15.562217,3112.448,0.015668588,47.10465,0.344346,45.6970327688112,0.015155931198533413,15.43352799979476,0.07102772
7862,skip_connect,skip_connect,skip_connect,none,skip_connect,skip_connect,0.3005,0.29078,6.656083,1331.218,0.008865197,7.78305,0.073306,7.448680888003264,0.008646862179567557,6.413090162853682,0.29699257
5193,nor_conv_3x3,nor_conv_1x1,nor_conv_3x3,skip_connect,nor_conv_1x1,nor_conv_1x1,0.0561,0.00028,28.325249,5665.0415,0.020770688,90.35841,0.643386,90.56878142733129,0.021276119573913583,27.617492273422073,0.058174282
10929,nor_conv_1x1,skip_connect,skip_connect,skip_connect,avg_pool_3x3,none,0.1039,0.02522,12.089252,2417.8513,0.012009244,11.71521,0.101306,11.133382019897825,0.012150798275527293,12.079434746228266,0.10000193
4316,nor_conv_3x3,nor_conv_3x3,none,skip_connect,nor_conv_1x1,nor_conv_3x3,0.0581,0.0002,25.620287,5124.055,0.01915424,117.88353,0.830426,116.97997068890881,0.01945527577001761,25.039255904617942,0.059094656
