df_moo_index,hp_x0,hp_x1,hp_x2,hp_x3,hp_x4,hp_x5,metric_valid_error,metric_train_error,metric_runtime,metric_elapsed_time,metric_latency,metric_flops,metric_params,pred_metric_flops,pred_metric_latency,pred_metric_runtime,pred_metric_valid_error
14085,none,skip_connect,skip_connect,nor_conv_1x1,skip_connect,avg_pool_3x3,0.1109,0.0208,12.067474,2413.4958,0.0126092825,11.71521,0.101306,10.976599067728088,0.01226410830829965,12.011794291527785,0.11415887
5556,nor_conv_3x3,nor_conv_1x1,none,skip_connect,nor_conv_3x3,nor_conv_3x3,0.0622,0.00012,25.519543,5103.9067,0.020016773,117.88353,0.830426,118.96521998978649,0.01929504849074791,25.20619249596863,0.05830992
13487,none,nor_conv_3x3,skip_connect,none,skip_connect,skip_connect,0.076,0.00272,11.473021,2294.6018,0.012523779,43.17249,0.316346,42.342335305472,0.012506647051323842,11.589947940284977,0.07955606
6181,nor_conv_3x3,none,none,skip_connect,nor_conv_3x3,nor_conv_3x3,0.0641,0.00026,22.232244,4446.4478,0.018558336,113.95137,0.802426,114.70714478307181,0.017620468361010413,21.516909695685833,0.059585866
3099,avg_pool_3x3,none,none,nor_conv_1x1,none,none,0.1143,0.05216,13.399452,2679.8865,0.01321767,11.71521,0.101306,11.606941984352412,0.013427938696076983,13.3416713528004,0.099219285
8814,skip_connect,none,avg_pool_3x3,skip_connect,skip_connect,none,0.1614,0.13744,9.097866,1819.575,0.009195532,7.78305,0.073306,6.830715040600392,0.009567010358618028,8.755102696579423,0.16463286
6539,skip_connect,avg_pool_3x3,skip_connect,nor_conv_3x3,skip_connect,none,0.0841,0.00208,13.811921,2762.3877,0.012517725,43.17249,0.316346,42.734979568240774,0.012325055541299415,13.562453034870172,0.07999514
7323,skip_connect,nor_conv_3x3,nor_conv_1x1,skip_connect,none,nor_conv_1x1,0.0646,0.00088,19.037094,3807.4216,0.017690541,51.03681,0.372346,49.9767139597897,0.017324543390929783,19.034311180244117,0.06745987
9295,skip_connect,none,none,nor_conv_3x3,none,avg_pool_3x3,0.0806,0.00246,14.4117985,2882.3599,0.013799,43.17249,0.316346,42.69613783781044,0.013095652422348095,14.128649716876362,0.07545456
4646,nor_conv_3x3,skip_connect,skip_connect,avg_pool_3x3,none,nor_conv_3x3,0.07705,0.00083,18.821465,3764.2966,0.015020139,78.56193,0.559386,78.18924872600327,0.014881608558404985,18.215253759501213,0.070606805
7487,skip_connect,nor_conv_3x3,none,none,skip_connect,skip_connect,0.0785,0.00208,11.744267,2348.8557,0.0126104895,43.17249,0.316346,43.19717900989393,0.012402199396654802,11.542779010380771,0.07657045
7738,skip_connect,skip_connect,nor_conv_3x3,none,skip_connect,nor_conv_1x1,0.0707,0.00136,15.29903,3059.811,0.015043928,47.10465,0.344346,46.646668188393136,0.014731996010875855,15.131129454806747,0.07371591
9097,skip_connect,none,skip_connect,nor_conv_1x1,none,skip_connect,0.1075,0.03592,10.657175,2131.4397,0.012150925,11.71521,0.101306,11.901243856128929,0.012309805457048411,10.386336390567946,0.098720305
13789,none,skip_connect,avg_pool_3x3,nor_conv_3x3,skip_connect,none,0.077,0.00232,13.852635,2770.5247,0.012569377,43.17249,0.316346,41.36551665431433,0.012597083234206729,13.874951154019168,0.08171514
1773,avg_pool_3x3,skip_connect,none,avg_pool_3x3,none,nor_conv_1x1,0.116,0.02198,14.753536,2950.7004,0.013045249,11.71521,0.101306,11.608698735314642,0.012899868157865653,14.575199259294319,0.09695351
14062,none,skip_connect,skip_connect,skip_connect,skip_connect,skip_connect,0.1634,0.14236,6.657342,1331.4695,0.0085947355,7.78305,0.073306,6.8509293636594855,0.008665504430879427,6.4320378617269816,0.1743443
6571,skip_connect,avg_pool_3x3,skip_connect,skip_connect,none,nor_conv_3x3,0.0863,0.00384,14.077778,2815.5593,0.012256262,43.17249,0.316346,43.69241651158581,0.012265225009541419,13.684326099729425,0.081462964
14087,none,skip_connect,skip_connect,nor_conv_1x1,skip_connect,skip_connect,0.111,0.03564,10.126159,2025.2258,0.011604065,11.71521,0.101306,11.058033014730032,0.011908253921939248,10.072486214278188,0.107387155
11695,nor_conv_1x1,nor_conv_1x1,nor_conv_1x1,skip_connect,none,avg_pool_3x3,0.0849,0.0045,19.768023,3953.6106,0.01874323,19.57953,0.157306,19.662397413375743,0.017530984359832177,19.74158655428748,0.088007696
10313,nor_conv_1x1,nor_conv_3x3,skip_connect,skip_connect,skip_connect,nor_conv_1x1,0.0641,0.00094,18.605896,3721.188,0.017086176,51.03681,0.372346,50.639043889331745,0.01677734096734864,18.800324622660405,0.06816702
10198,nor_conv_1x1,nor_conv_3x3,nor_conv_3x3,skip_connect,none,nor_conv_1x1,0.0595,0.00058,23.224464,4644.889,0.019745369,86.42625,0.615386,86.45748173349656,0.019661856076847967,24.164085093316807,0.059787225
8107,skip_connect,skip_connect,none,none,nor_conv_3x3,skip_connect,0.0855,0.00198,11.539409,2307.8818,0.012508885,43.17249,0.316346,43.46878868995183,0.012383143579179844,11.667903432017987,0.077975065
9117,skip_connect,none,skip_connect,none,nor_conv_1x1,skip_connect,0.1075,0.03592,10.570597,2114.116,0.011898315,11.71521,0.101306,11.796084870299488,0.01235902029252332,10.550830579101024,0.09296477
8947,skip_connect,none,nor_conv_3x3,skip_connect,none,skip_connect,0.0838,0.0021,11.502114,2300.422,0.012833801,43.17249,0.316346,42.93892624472421,0.012348561637326325,11.547258314868778,0.07833708
13677,none,nor_conv_3x3,none,skip_connect,avg_pool_3x3,skip_connect,0.0815,0.00224,13.505087,2701.0217,0.013442008,43.17249,0.316346,43.131843193218685,0.012677084170271613,13.42544571036282,0.07715069
4727,nor_conv_3x3,skip_connect,skip_connect,none,avg_pool_3x3,skip_connect,0.0848,0.00344,13.538541,2707.7112,0.011784517,43.17249,0.316346,42.6167893876791,0.012134896971637018,13.380258076875691,0.08985596
8072,skip_connect,skip_connect,none,skip_connect,none,skip_connect,0.1634,0.14236,6.8550744,1371.0182,0.008644209,7.78305,0.073306,7.967536898055994,0.00900451747678552,6.692116282754084,0.16840497
8985,skip_connect,none,nor_conv_3x3,none,skip_connect,avg_pool_3x3,0.0908,0.00798,13.832982,2766.6003,0.0130513655,43.17249,0.316346,42.216160516640045,0.01267770792071592,13.71242185308429,0.084188156
