df_moo_index,hp_x0,hp_x1,hp_x2,hp_x3,hp_x4,hp_x5,metric_valid_error,metric_train_error,metric_runtime,metric_elapsed_time,metric_latency,metric_flops,metric_params,pred_metric_flops,pred_metric_latency,pred_metric_runtime,pred_metric_valid_error
13487,none,nor_conv_3x3,skip_connect,none,skip_connect,skip_connect,0.076,0.00272,11.473021,2294.6018,0.012523779,43.17249,0.316346,42.342335305472,0.012506647051323842,11.589947940284977,0.07955606
11939,nor_conv_1x1,none,avg_pool_3x3,skip_connect,skip_connect,none,0.104550004,0.03478,12.639607,2527.9255,0.011475588,11.71521,0.101306,11.420510518644369,0.012631038273262256,12.778408219480095,0.10379287
9064,skip_connect,none,skip_connect,skip_connect,skip_connect,none,0.158,0.1352,6.8352356,1367.0433,0.008329059,7.78305,0.073306,9.267917124579538,0.009237862276598823,6.825503887032593,0.16927534
7431,skip_connect,nor_conv_3x3,none,skip_connect,nor_conv_3x3,nor_conv_3x3,0.062,0.00036,21.799692,4359.9497,0.016781084,113.95137,0.802426,108.18485616362695,0.017345824239331002,21.383573279625647,0.06282818
3448,nor_conv_3x3,avg_pool_3x3,skip_connect,skip_connect,none,nor_conv_1x1,0.0737,0.00132,17.818766,3563.7583,0.014520162,47.10465,0.344346,46.6019391678666,0.015120709261880697,17.62467233531895,0.075666234
7808,skip_connect,skip_connect,skip_connect,skip_connect,nor_conv_3x3,nor_conv_1x1,0.0747,0.00238,14.903933,2980.794,0.014333918,47.10465,0.344346,47.42776146958545,0.014332301327395821,14.966973381231508,0.07569993
13702,none,nor_conv_3x3,none,nor_conv_1x1,avg_pool_3x3,skip_connect,0.0748,0.00194,17.710068,3542.006,0.014331428,47.10465,0.344346,47.1106907785292,0.015393047798282633,17.536532269330856,0.07783084
7738,skip_connect,skip_connect,nor_conv_3x3,none,skip_connect,nor_conv_1x1,0.0707,0.00136,15.29903,3059.811,0.015043928,47.10465,0.344346,46.646668188393136,0.014731996010875855,15.131129454806747,0.07371591
5939,nor_conv_3x3,none,skip_connect,skip_connect,skip_connect,none,0.0798,0.0024,11.613704,2322.7375,0.012144443,43.17249,0.316346,52.56497743862426,0.012383031094645516,11.682996955318853,0.07749556
3372,nor_conv_3x3,avg_pool_3x3,nor_conv_3x3,none,none,skip_connect,0.0726,0.00062,18.24357,3648.7195,0.014292366,78.56193,0.559386,78.77328852050654,0.015423076227784417,18.8137447403571,0.07432084
14062,none,skip_connect,skip_connect,skip_connect,skip_connect,skip_connect,0.1634,0.14236,6.657342,1331.4695,0.0085947355,7.78305,0.073306,6.8509293636594855,0.008665504430879427,6.4320378617269816,0.1743443
